Income,MntTotal,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,AcceptedCmp6,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Graduation,education_Master,education_PhD,MntRegularProds,DateJoined
59354,296,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,1,0,0,0,0,0,0,1,0,282,04-04-16
17323,41,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,0,1,0,0,0,0,1,0,0,36,28-02-15
75759,2304,0,0,46,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,0,1,0,1,51,2406,0,1,0,0,0,0,1,0,0,2122,14-03-16
41850,92,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,0,1,0,0,0,0,1,0,0,88,14-05-15
37760,289,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,0,0,0,1,0,0,1,0,0,261,19-01-15
76995,1606,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0,71,2617,0,1,0,0,0,0,0,1,0,1430,16-08-15
33812,94,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,35,2762,0,0,1,0,0,1,0,0,0,55,24-03-15
37040,268,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,38,2849,0,1,0,0,0,0,1,0,0,220,27-12-14
2447,1729,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,41,2698,0,1,0,0,0,0,1,0,0,1728,27-05-15
58607,953,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,71,2712,0,1,0,0,0,0,0,0,1,934,13-05-15
65324,539,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,66,2328,0,1,0,0,0,0,0,0,1,534,31-05-16
40689,345,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,69,2627,0,0,0,1,0,0,1,0,0,246,06-08-15
18589,62,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,51,2702,0,0,1,0,0,0,1,0,0,49,23-05-15
53359,216,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,44,2557,0,1,0,0,0,0,1,0,0,175,15-10-15
38360,121,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,31,2553,0,1,0,0,0,0,1,0,0,111,19-10-15
84618,1672,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0,55,2378,0,1,0,0,0,0,0,0,1,1672,11-04-16
10979,26,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,31,2197,1,0,0,0,0,0,0,1,0,22,09-10-16
38620,229,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,0,0,0,1,0,0,0,1,0,140,29-09-15
40548,117,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0,50,2786,0,0,0,1,0,0,1,0,0,114,28-02-15
93790,2304,0,0,16,1302,68,731,89,114,45,0,6,7,12,2,1,0,0,1,1,0,1,50,2296,0,0,1,0,0,0,1,0,0,2259,02-07-16
68657,1174,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,74,2653,0,1,0,0,0,0,0,1,0,1152,11-07-15
49389,62,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,69,2463,0,0,1,0,0,0,0,1,0,59,17-01-16
67353,878,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,50,2339,0,1,0,0,0,0,0,0,1,843,20-05-16
23718,45,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,44,2459,0,1,0,0,0,1,0,0,0,9,21-01-16
42429,63,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,47,2297,0,0,0,0,1,0,1,0,0,59,01-07-16
91712,2169,0,0,47,1276,24,746,94,29,48,0,9,7,11,3,0,0,0,0,1,0,1,73,2414,0,0,1,0,0,0,0,1,0,2121,06-03-16
80011,1293,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,40,2585,0,1,0,0,0,0,1,0,0,1191,17-09-15
20559,46,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,35,2633,0,1,0,0,0,0,0,1,0,39,31-07-15
21994,19,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,63,2711,0,0,0,1,0,0,1,0,0,16,14-05-15
7500,19,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,45,2429,0,1,0,0,0,0,0,1,0,7,20-02-16
79941,810,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,44,2160,0,0,1,0,0,0,1,0,0,636,15-11-16
75825,2158,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,0,1,44,2784,0,0,1,0,0,0,1,0,0,2107,02-03-15
41728,42,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,52,2560,0,0,0,1,0,0,1,0,0,29,12-10-15
72550,1281,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,66,2757,0,1,0,0,0,0,0,0,1,1243,29-03-15
65486,493,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,63,2207,0,0,0,0,1,0,1,0,0,479,29-09-16
79143,1661,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,56,2846,0,1,0,0,0,0,0,1,0,1629,30-12-14
35790,69,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,43,2702,0,0,1,0,0,0,1,0,0,66,23-05-15
83151,2136,0,0,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,0,1,0,1,48,2663,0,1,0,0,0,0,0,1,0,1926,01-07-15
66373,497,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,42,2541,0,1,0,0,0,0,1,0,0,388,31-10-15
94384,2130,0,0,62,1111,24,790,160,45,172,0,5,8,5,2,1,0,0,1,1,0,1,67,2641,0,0,0,1,0,0,1,0,0,1958,23-07-15
27938,24,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,32,2221,0,0,1,0,0,0,1,0,0,19,15-09-16
55954,475,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,52,2277,0,1,0,0,0,0,0,0,1,432,21-07-16
77632,2105,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,0,0,1,1,0,1,73,2635,0,0,0,1,0,0,0,1,0,1958,29-07-15
66653,606,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,45,2819,0,0,0,1,0,0,1,0,0,600,26-01-15
61823,715,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,68,2655,0,0,1,0,0,0,1,0,0,546,09-07-15
67680,600,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,69,2542,0,0,0,0,1,0,0,0,1,594,30-10-15
70666,1046,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,72,2364,0,0,0,1,0,0,1,0,0,1016,25-04-16
72335,2092,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,0,1,44,2844,0,0,0,1,0,0,0,0,1,2092,01-01-15
32474,11,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,53,2208,0,0,0,1,0,0,1,0,0,11,28-09-16
86857,2074,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,48,2814,0,0,1,0,0,0,0,0,1,2034,31-01-15
69096,544,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,62,2434,0,0,0,1,0,0,1,0,0,435,15-02-16
74854,1489,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,50,2606,0,0,0,1,0,0,1,0,0,1416,27-08-15
66991,1241,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,66,2815,0,1,0,0,0,0,0,1,0,1229,30-01-15
65031,777,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,61,2628,0,1,0,0,0,0,1,0,0,691,05-08-15
60631,642,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,0,45,2609,0,1,0,0,0,0,0,0,1,623,24-08-15
28332,56,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,68,2219,0,1,0,0,0,0,1,0,0,47,17-09-16
40246,12,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,43,2716,1,0,0,0,0,0,1,0,0,11,09-05-15
82326,2074,0,0,30,938,142,754,159,81,183,1,5,10,6,2,1,0,0,1,1,0,1,43,2270,0,0,0,1,0,1,0,0,0,1891,28-07-16
26326,9,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,44,2457,0,0,0,1,0,1,0,0,0,0,23-01-16
92163,2066,0,0,25,817,183,797,106,163,20,0,5,11,5,2,1,0,0,0,1,0,1,45,2723,0,1,0,0,0,0,0,1,0,2046,02-05-15
29760,148,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,35,2828,0,0,1,0,0,0,1,0,0,131,17-01-15
26304,12,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,51,2530,0,1,0,0,0,0,1,0,0,8,11-11-15
23559,56,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,47,2520,0,1,0,0,0,1,0,0,0,33,21-11-15
81361,702,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,33,2283,1,0,0,0,0,0,1,0,0,626,15-07-16
29440,53,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,60,2481,0,1,0,0,0,0,1,0,0,50,30-12-15
36138,146,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0,50,2507,0,1,0,0,0,0,0,1,0,141,04-12-15
83512,2056,0,0,31,1060,61,835,80,20,101,1,4,7,10,1,1,1,1,0,1,0,1,34,2171,0,1,0,0,0,0,1,0,0,1955,04-11-16
79593,1221,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0,47,2207,0,1,0,0,0,0,1,0,0,1076,29-09-16
54178,187,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,53,2318,0,0,0,1,0,0,1,0,0,180,10-06-16
42394,28,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,48,2257,0,0,1,0,0,0,0,1,0,24,10-08-16
23626,43,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,50,2195,0,1,0,0,0,0,0,0,1,43,11-10-16
30096,36,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,37,2197,0,1,0,0,0,0,1,0,0,27,09-10-16
47916,531,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,0,60,2743,0,0,0,0,1,0,1,0,0,456,12-04-15
51813,61,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,48,2603,1,0,0,0,0,0,1,0,0,59,30-08-15
78497,755,0,0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,69,2369,0,1,0,0,0,1,0,0,0,532,20-04-16
50150,399,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,37,2533,0,1,0,0,0,0,0,0,1,388,08-11-15
47823,62,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,60,2500,0,0,1,0,0,1,0,0,0,52,11-12-15
34554,50,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,61,2250,0,0,1,0,0,0,0,0,1,45,17-08-16
85693,1058,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,41,2594,0,0,0,1,0,0,1,0,0,947,08-09-15
65846,1039,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,75,2567,0,1,0,0,0,0,0,0,1,958,05-10-15
80141,2051,0,0,20,1184,102,673,52,40,40,1,7,4,10,6,0,0,0,0,1,0,1,34,2693,0,1,0,0,0,0,0,1,0,2011,01-06-15
24594,20,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,41,2360,0,0,0,1,0,0,0,0,0,11,29-04-16
49096,180,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,56,2437,0,1,0,0,0,0,1,0,0,173,12-02-16
52413,845,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,51,2671,0,1,0,0,0,0,1,0,0,780,23-06-15
38557,118,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,42,2716,0,0,1,0,0,0,1,0,0,91,09-05-15
89058,807,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,60,2728,0,1,0,0,0,0,0,1,0,764,27-04-15
77298,890,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,41,2398,0,0,0,1,0,0,1,0,0,811,22-03-16
92491,2012,0,0,71,979,44,935,29,25,22,1,7,5,12,3,1,0,0,1,1,0,1,37,2583,0,1,0,0,0,0,0,0,1,1990,19-09-15
57288,548,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,0,57,2163,0,0,0,1,0,0,0,1,0,488,12-11-16
89572,1995,0,0,44,606,24,974,197,194,64,1,7,7,9,4,1,0,0,1,0,0,1,54,2811,0,0,1,0,0,1,0,0,0,1931,03-02-15
43974,479,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,40,2723,0,1,0,0,0,0,0,0,1,407,02-05-15
50785,87,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,58,2451,0,0,1,0,0,0,1,0,0,60,29-01-16
90765,1691,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0,50,2315,0,1,0,0,0,0,1,0,0,1658,13-06-16
36550,457,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,42,2654,0,1,0,0,0,1,0,0,0,337,10-07-15
30753,51,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,53,2512,0,0,0,1,0,1,0,0,0,21,29-11-15
21918,30,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,51,2386,0,0,0,1,0,0,1,0,0,27,03-04-16
56129,612,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,67,2533,0,0,0,1,0,0,0,1,0,564,08-11-15
82332,1987,0,0,89,830,59,968,51,79,19,1,5,3,12,2,0,0,0,0,1,0,1,59,2809,0,0,1,0,0,0,1,0,0,1968,05-02-15
19510,23,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,35,2457,0,1,0,0,0,0,0,1,0,16,23-01-16
30992,41,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,44,2592,1,0,0,0,0,0,1,0,0,39,10-09-15
72903,1974,0,0,74,1067,138,750,0,19,39,1,7,5,8,4,1,0,0,1,1,0,1,35,2402,0,0,1,0,0,0,1,0,0,1935,18-03-16
71488,387,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,55,2655,0,0,0,1,0,1,0,0,0,215,09-07-15
95529,1966,0,0,29,770,29,890,250,27,24,1,7,3,7,3,0,0,0,0,1,0,1,26,2732,0,0,1,0,0,0,1,0,0,1942,23-04-15
54348,86,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,67,2180,0,1,0,0,0,0,0,1,0,82,26-10-16
77376,649,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,64,2209,0,0,0,1,0,0,0,0,1,637,27-09-16
62998,405,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,68,2431,0,1,0,0,0,0,1,0,0,347,18-02-16
61331,591,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,62,2635,0,0,1,0,0,0,0,1,0,550,29-07-15
73448,595,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,51,2298,0,1,0,0,0,0,1,0,0,465,30-06-16
41551,256,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,56,2478,0,1,0,0,0,0,0,0,1,233,02-01-16
62981,1482,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0,53,2628,0,0,0,1,0,0,0,0,1,1482,05-08-15
9548,20,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,44,2849,1,0,0,0,0,0,0,0,0,11,27-12-14
33762,90,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,61,2516,0,1,0,0,0,0,0,0,1,74,25-11-15
75345,1954,0,0,16,918,57,842,99,38,133,1,5,8,6,3,1,0,0,0,0,0,1,50,2671,0,0,1,0,0,0,0,1,0,1821,23-06-15
36921,34,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,55,2495,1,0,0,0,0,0,0,0,1,30,16-12-15
92859,2057,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,28,2777,0,0,1,0,0,0,0,1,0,2037,09-03-15
91700,1949,0,0,58,576,172,961,125,115,19,1,8,6,5,3,0,0,0,0,0,0,1,49,2687,0,0,1,0,0,0,1,0,0,1930,07-06-15
86111,1259,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,58,2595,0,1,0,0,0,0,1,0,0,1133,07-09-15
68352,838,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,46,2464,0,0,1,0,0,0,0,0,1,805,16-01-16
41883,196,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,32,2626,0,0,0,1,0,0,1,0,0,80,07-08-15
59809,828,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,44,2778,0,1,0,0,0,0,1,0,0,779,08-03-15
72309,1931,0,0,64,960,0,883,50,38,0,1,5,6,8,3,1,0,0,0,0,0,1,44,2634,0,0,1,0,0,0,0,1,0,1931,30-07-15
38547,18,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,39,2464,0,0,0,1,0,0,1,0,0,14,16-01-16
35688,179,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,47,2835,0,1,0,0,0,1,0,0,0,147,10-01-15
49605,119,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,54,2167,0,1,0,0,0,0,0,1,0,111,08-11-16
59354,446,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,67,2225,0,1,0,0,0,0,0,1,0,433,11-09-16
65747,447,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,0,51,2273,0,1,0,0,0,0,1,0,0,434,25-07-16
46344,338,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,48,2721,0,0,0,1,0,1,0,0,0,247,04-05-15
34176,69,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,32,2207,0,0,1,0,0,0,1,0,0,49,29-09-16
61010,945,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,68,2787,0,0,0,1,0,0,0,0,1,869,27-02-15
87771,1924,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,1,1,0,1,1,0,1,61,2562,0,0,0,1,0,0,1,0,0,1891,10-10-15
49967,303,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,62,2515,0,0,1,0,0,0,1,0,0,300,26-11-15
60199,18,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,42,2449,0,0,1,0,0,0,1,0,0,18,31-01-16
55375,148,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,43,2414,0,0,0,1,0,0,1,0,0,134,06-03-16
80317,1174,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,65,2472,0,0,1,0,0,0,1,0,0,1117,08-01-16
30523,8,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,62,2522,0,0,1,0,0,0,0,1,0,3,19-11-15
70356,1673,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,75,2760,0,1,0,0,0,0,0,0,1,1640,26-03-15
23228,116,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,36,2334,0,1,0,0,0,0,1,0,0,111,25-05-16
74165,1281,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,45,2583,1,0,0,0,0,0,0,0,1,1269,19-09-15
43482,60,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,54,2387,0,0,0,1,0,0,1,0,0,32,02-04-16
62551,394,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0,0,67,2382,1,0,0,0,0,0,1,0,0,367,07-04-16
52332,257,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0,0,61,2464,1,0,0,0,0,0,1,0,0,255,16-01-16
66951,993,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,32,2398,0,0,1,0,0,0,1,0,0,869,22-03-16
26091,69,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,63,2283,0,0,0,1,0,0,1,0,0,49,15-07-16
33456,29,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,55,2228,0,0,0,1,0,0,1,0,0,22,08-09-16
28718,41,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,38,2510,0,1,0,0,0,0,1,0,0,25,01-12-15
50447,121,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,50,2228,0,1,0,0,0,0,1,0,0,94,08-09-16
53537,87,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,61,2309,0,0,0,1,0,0,0,0,1,81,19-06-16
52074,71,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0,0,53,2245,0,0,1,0,0,0,1,0,0,23,22-08-16
80427,1809,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,45,2814,0,1,0,0,0,0,0,0,1,1783,31-01-15
38853,43,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,50,2196,0,1,0,0,0,0,0,0,1,41,10-10-16
38285,9,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,61,2164,0,0,0,1,0,0,1,0,0,8,11-11-16
51650,184,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,44,2208,0,1,0,0,0,0,0,0,1,177,28-09-16
16248,48,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,32,2209,0,1,0,0,0,1,0,0,0,39,27-09-16
66835,892,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,74,2433,0,1,0,0,0,0,0,1,0,751,16-02-16
30477,54,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,36,2317,0,1,0,0,0,0,0,1,0,42,11-06-16
28249,33,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,59,2173,0,1,0,0,0,0,0,0,0,23,02-11-16
25271,43,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,37,2730,0,1,0,0,0,0,1,0,0,36,25-04-15
32303,37,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,50,2272,0,0,1,0,0,0,0,0,1,35,26-07-16
61286,491,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,54,2490,0,1,0,0,0,0,1,0,0,374,21-12-15
